"acid green","#8ffe09","acid green"
"adobe","#bd6c48","adobe"
"algae green","#21c36f","algae green"
"algae","#54ac68","algae"
"almost black","#070d0d","almost black"
"amber","#feb308","amber"
"amethyst","#9b5fc0","amethyst"
"apple green","#76cd26","apple green"
"apple","#6ecb3c","apple"
"apricot","#ffb16d","apricot"
"aqua blue","#02d8e9","aqua blue"
"aqua green","#12e193","aqua green"
"aqua marine","#2ee8bb","aqua marine"
"aqua","#13eac9","aqua"
"aquamarine","#04d8b2","aquamarine"
"army green","#4b5d16","army green"
"asparagus","#77ab56","asparagus"
"aubergine","#3d0734","aubergine"
"auburn","#9a3001","auburn"
"avocado green","#87a922","avocado green"
"avocado","#90b134","avocado"
"azul","#1d5dec","azul"
"azure","#069af3","azure"
"baby blue","#a2cffe","baby blue"
"baby green","#8cff9e","baby green"
"baby pink","#ffb7ce","baby pink"
"baby poo","#ab9004","baby poo"
"baby poop green","#8f9805","baby poop green"
"baby poop","#937c00","baby poop"
"baby puke green","#b6c406","baby puke green"
"baby purple","#ca9bf7","baby purple"
"baby shit brown","#ad900d","baby shit brown"
"baby shit green","#889717","baby shit green"
"banana yellow","#fafe4b","banana yellow"
"banana","#ffff7e","banana"
"barbie pink","#fe46a5","barbie pink"
"barf green","#94ac02","barf green"
"barney purple","#a00498","barney purple"
"barney","#ac1db8","barney"
"battleship grey","#6b7c85","battleship grey"
"beige","#e6daa6","beige"
"berry","#990f4b","berry"
"bile","#b5c306","bile"
"black","#000000","black"
"bland","#afa88b","bland"
"blood orange","#fe4b03","blood orange"
"blood red","#980002","blood red"
"blood","#770001","blood"
"blue blue","#2242c7","blue blue"
"blue green","#137e6d","blue green"
"blue grey","#607c8e","blue grey"
"blue purple","#5729ce","blue purple"
"blue violet","#5d06e9","blue violet"
"blue with a hint of purple","#533cc6","blue with a hint of purple"
"blue","#0343df","blue"
"blue/green","#0f9b8e","blue/green"
"blue/grey","#758da3","blue/grey"
"blue/purple","#5a06ef","blue/purple"
"blueberry","#464196","blueberry"
"bluegreen","#017a79","bluegreen"
"bluegrey","#85a3b2","bluegrey"
"bluey green","#2bb179","bluey green"
"bluey grey","#89a0b0","bluey grey"
"bluey purple","#6241c7","bluey purple"
"bluish green","#10a674","bluish green"
"bluish grey","#748b97","bluish grey"
"bluish purple","#703be7","bluish purple"
"bluish","#2976bb","bluish"
"blurple","#5539cc","blurple"
"blush pink","#fe828c","blush pink"
"blush","#f29e8e","blush"
"booger green","#96b403","booger green"
"booger","#9bb53c","booger"
"bordeaux","#7b002c","bordeaux"
"boring green","#63b365","boring green"
"bottle green","#044a05","bottle green"
"brick orange","#c14a09","brick orange"
"brick red","#8f1402","brick red"
"brick","#a03623","brick"
"bright aqua","#0bf9ea","bright aqua"
"bright blue","#0165fc","bright blue"
"bright cyan","#41fdfe","bright cyan"
"bright green","#01ff07","bright green"
"bright lavender","#c760ff","bright lavender"
"bright light blue","#26f7fd","bright light blue"
"bright light green","#2dfe54","bright light green"
"bright lilac","#c95efb","bright lilac"
"bright lime green","#65fe08","bright lime green"
"bright lime","#87fd05","bright lime"
"bright magenta","#ff08e8","bright magenta"
"bright olive","#9cbb04","bright olive"
"bright orange","#ff5b00","bright orange"
"bright pink","#fe01b1","bright pink"
"bright purple","#be03fd","bright purple"
"bright red","#ff000d","bright red"
"bright sea green","#05ffa6","bright sea green"
"bright sky blue","#02ccfe","bright sky blue"
"bright teal","#01f9c6","bright teal"
"bright turquoise","#0ffef9","bright turquoise"
"bright violet","#ad0afd","bright violet"
"bright yellow green","#9dff00","bright yellow green"
"bright yellow","#fffd01","bright yellow"
"british racing green","#05480d","british racing green"
"bronze","#a87900","bronze"
"brown green","#706c11","brown green"
"brown grey","#8d8468","brown grey"
"brown orange","#b96902","brown orange"
"brown red","#922b05","brown red"
"brown yellow","#b29705","brown yellow"
"brown","#653700","brown"
"brownish green","#6a6e09","brownish green"
"brownish grey","#86775f","brownish grey"
"brownish orange","#cb7723","brownish orange"
"brownish pink","#c27e79","brownish pink"
"brownish purple","#76424e","brownish purple"
"brownish red","#9e3623","brownish red"
"brownish yellow","#c9b003","brownish yellow"
"brownish","#9c6d57","brownish"
"browny green","#6f6c0a","browny green"
"browny orange","#ca6b02","browny orange"
"bruise","#7e4071","bruise"
"bubble gum pink","#ff69af","bubble gum pink"
"bubblegum pink","#fe83cc","bubblegum pink"
"bubblegum","#ff6cb5","bubblegum"
"buff","#fef69e","buff"
"burgundy","#610023","burgundy"
"burnt orange","#c04e01","burnt orange"
"burnt red","#9f2305","burnt red"
"burnt siena","#b75203","burnt siena"
"burnt sienna","#b04e0f","burnt sienna"
"burnt umber","#a0450e","burnt umber"
"burnt yellow","#d5ab09","burnt yellow"
"burple","#6832e3","burple"
"butter yellow","#fffd74","butter yellow"
"butter","#ffff81","butter"
"butterscotch","#fdb147","butterscotch"
"cadet blue","#4e7496","cadet blue"
"camel","#c69f59","camel"
"camo green","#526525","camo green"
"camo","#7f8f4e","camo"
"camouflage green","#4b6113","camouflage green"
"canary yellow","#fffe40","canary yellow"
"canary","#fdff63","canary"
"candy pink","#ff63e9","candy pink"
"caramel","#af6f09","caramel"
"carmine","#9d0216","carmine"
"carnation pink","#ff7fa7","carnation pink"
"carnation","#fd798f","carnation"
"carolina blue","#8ab8fe","carolina blue"
"celadon","#befdb7","celadon"
"celery","#c1fd95","celery"
"cement","#a5a391","cement"
"cerise","#de0c62","cerise"
"cerulean blue","#056eee","cerulean blue"
"cerulean","#0485d1","cerulean"
"charcoal grey","#3c4142","charcoal grey"
"charcoal","#343837","charcoal"
"chartreuse","#c1f80a","chartreuse"
"cherry red","#f7022a","cherry red"
"cherry","#cf0234","cherry"
"chestnut","#742802","chestnut"
"chocolate brown","#411900","chocolate brown"
"chocolate","#3d1c02","chocolate"
"cinnamon","#ac4f06","cinnamon"
"claret","#680018","claret"
"clay brown","#b2713d","clay brown"
"clay","#b66a50","clay"
"clear blue","#247afd","clear blue"
"cloudy blue","#acc2d9","cloudy blue"
"cobalt blue","#030aa7","cobalt blue"
"cobalt","#1e488f","cobalt"
"cocoa","#875f42","cocoa"
"coffee","#a6814c","coffee"
"cool blue","#4984b8","cool blue"
"cool green","#33b864","cool green"
"cool grey","#95a3a6","cool grey"
"copper","#b66325","copper"
"coral pink","#ff6163","coral pink"
"coral","#fc5a50","coral"
"cornflower blue","#5170d7","cornflower blue"
"cornflower","#6a79f7","cornflower"
"cranberry","#9e003a","cranberry"
"cream","#ffffc2","cream"
"creme","#ffffb6","creme"
"crimson","#8c000f","crimson"
"custard","#fffd78","custard"
"cyan","#00ffff","cyan"
"dandelion","#fedf08","dandelion"
"dark aqua","#05696b","dark aqua"
"dark aquamarine","#017371","dark aquamarine"
"dark beige","#ac9362","dark beige"
"dark blue green","#005249","dark blue green"
"dark blue grey","#1f3b4d","dark blue grey"
"dark blue","#00035b","dark blue"
"dark brown","#341c02","dark brown"
"dark coral","#cf524e","dark coral"
"dark cream","#fff39a","dark cream"
"dark cyan","#0a888a","dark cyan"
"dark forest green","#002d04","dark forest green"
"dark fuchsia","#9d0759","dark fuchsia"
"dark gold","#b59410","dark gold"
"dark grass green","#388004","dark grass green"
"dark green blue","#1f6357","dark green blue"
"dark green","#033500","dark green"
"dark grey blue","#29465b","dark grey blue"
"dark grey","#363737","dark grey"
"dark hot pink","#d90166","dark hot pink"
"dark indigo","#1f0954","dark indigo"
"dark khaki","#9b8f55","dark khaki"
"dark lavender","#856798","dark lavender"
"dark lilac","#9c6da5","dark lilac"
"dark lime green","#7ebd01","dark lime green"
"dark lime","#84b701","dark lime"
"dark magenta","#960056","dark magenta"
"dark maroon","#3c0008","dark maroon"
"dark mauve","#874c62","dark mauve"
"dark mint green","#20c073","dark mint green"
"dark mint","#48c072","dark mint"
"dark mustard","#a88905","dark mustard"
"dark navy blue","#00022e","dark navy blue"
"dark navy","#000435","dark navy"
"dark olive green","#3c4d03","dark olive green"
"dark olive","#373e02","dark olive"
"dark orange","#c65102","dark orange"
"dark pastel green","#56ae57","dark pastel green"
"dark peach","#de7e5d","dark peach"
"dark periwinkle","#665fd1","dark periwinkle"
"dark pink","#cb416b","dark pink"
"dark plum","#3f012c","dark plum"
"dark purple","#35063e","dark purple"
"dark red","#840000","dark red"
"dark rose","#b5485d","dark rose"
"dark royal blue","#02066f","dark royal blue"
"dark sage","#598556","dark sage"
"dark salmon","#c85a53","dark salmon"
"dark sand","#a88f59","dark sand"
"dark sea green","#11875d","dark sea green"
"dark seafoam green","#3eaf76","dark seafoam green"
"dark seafoam","#1fb57a","dark seafoam"
"dark sky blue","#448ee4","dark sky blue"
"dark slate blue","#214761","dark slate blue"
"dark tan","#af884a","dark tan"
"dark taupe","#7f684e","dark taupe"
"dark teal","#014d4e","dark teal"
"dark turquoise","#045c5a","dark turquoise"
"dark violet","#34013f","dark violet"
"dark yellow green","#728f02","dark yellow green"
"dark yellow","#d5b60a","dark yellow"
"dark","#1b2431","dark"
"darkblue","#030764","darkblue"
"darkgreen","#054907","darkgreen"
"darkish blue","#014182","darkish blue"
"darkish green","#287c37","darkish green"
"darkish pink","#da467d","darkish pink"
"darkish purple","#751973","darkish purple"
"darkish red","#a90308","darkish red"
"deep aqua","#08787f","deep aqua"
"deep blue","#040273","deep blue"
"deep brown","#410200","deep brown"
"deep green","#02590f","deep green"
"deep lavender","#8d5eb7","deep lavender"
"deep lilac","#966ebd","deep lilac"
"deep magenta","#a0025c","deep magenta"
"deep orange","#dc4d01","deep orange"
"deep pink","#cb0162","deep pink"
"deep purple","#36013f","deep purple"
"deep red","#9a0200","deep red"
"deep rose","#c74767","deep rose"
"deep sea blue","#015482","deep sea blue"
"deep sky blue","#0d75f8","deep sky blue"
"deep teal","#00555a","deep teal"
"deep turquoise","#017374","deep turquoise"
"deep violet","#490648","deep violet"
"denim blue","#3b5b92","denim blue"
"denim","#3b638c","denim"
"desert","#ccad60","desert"
"diarrhea","#9f8303","diarrhea"
"dirt brown","#836539","dirt brown"
"dirt","#8a6e45","dirt"
"dirty blue","#3f829d","dirty blue"
"dirty green","#667e2c","dirty green"
"dirty orange","#c87606","dirty orange"
"dirty pink","#ca7b80","dirty pink"
"dirty purple","#734a65","dirty purple"
"dirty yellow","#cdc50a","dirty yellow"
"dodger blue","#3e82fc","dodger blue"
"drab green","#749551","drab green"
"drab","#828344","drab"
"dried blood","#4b0101","dried blood"
"duck egg blue","#c3fbf4","duck egg blue"
"dull blue","#49759c","dull blue"
"dull brown","#876e4b","dull brown"
"dull green","#74a662","dull green"
"dull orange","#d8863b","dull orange"
"dull pink","#d5869d","dull pink"
"dull purple","#84597e","dull purple"
"dull red","#bb3f3f","dull red"
"dull teal","#5f9e8f","dull teal"
"dull yellow","#eedc5b","dull yellow"
"dusk blue","#26538d","dusk blue"
"dusk","#4e5481","dusk"
"dusky blue","#475f94","dusky blue"
"dusky pink","#cc7a8b","dusky pink"
"dusky purple","#895b7b","dusky purple"
"dusky rose","#ba6873","dusky rose"
"dust","#b2996e","dust"
"dusty blue","#5a86ad","dusty blue"
"dusty green","#76a973","dusty green"
"dusty lavender","#ac86a8","dusty lavender"
"dusty orange","#f0833a","dusty orange"
"dusty pink","#d58a94","dusty pink"
"dusty purple","#825f87","dusty purple"
"dusty red","#b9484e","dusty red"
"dusty rose","#c0737a","dusty rose"
"dusty teal","#4c9085","dusty teal"
"earth","#a2653e","earth"
"easter green","#8cfd7e","easter green"
"easter purple","#c071fe","easter purple"
"ecru","#feffca","ecru"
"egg shell","#fffcc4","egg shell"
"eggplant purple","#430541","eggplant purple"
"eggplant","#380835","eggplant"
"eggshell blue","#c4fff7","eggshell blue"
"eggshell","#ffffd4","eggshell"
"electric blue","#0652ff","electric blue"
"electric green","#21fc0d","electric green"
"electric lime","#a8ff04","electric lime"
"electric pink","#ff0490","electric pink"
"electric purple","#aa23ff","electric purple"
"emerald green","#028f1e","emerald green"
"emerald","#01a049","emerald"
"evergreen","#05472a","evergreen"
"faded blue","#658cbb","faded blue"
"faded green","#7bb274","faded green"
"faded orange","#f0944d","faded orange"
"faded pink","#de9dac","faded pink"
"faded purple","#916e99","faded purple"
"faded red","#d3494e","faded red"
"faded yellow","#feff7f","faded yellow"
"fawn","#cfaf7b","fawn"
"fern green","#548d44","fern green"
"fern","#63a950","fern"
"fire engine red","#fe0002","fire engine red"
"flat blue","#3c73a8","flat blue"
"flat green","#699d4c","flat green"
"fluorescent green","#08ff08","fluorescent green"
"fluro green","#0aff02","fluro green"
"foam green","#90fda9","foam green"
"forest green","#06470c","forest green"
"forest","#0b5509","forest"
"forrest green","#154406","forrest green"
"french blue","#436bad","french blue"
"fresh green","#69d84f","fresh green"
"frog green","#58bc08","frog green"
"fuchsia","#ed0dd9","fuchsia"
"gold","#dbb40c","gold"
"golden brown","#b27a01","golden brown"
"golden rod","#f9bc08","golden rod"
"golden yellow","#fec615","golden yellow"
"golden","#f5bf03","golden"
"goldenrod","#fac205","goldenrod"
"grape purple","#5d1451","grape purple"
"grape","#6c3461","grape"
"grapefruit","#fd5956","grapefruit"
"grass green","#3f9b0b","grass green"
"grass","#5cac2d","grass"
"grassy green","#419c03","grassy green"
"green apple","#5edc1f","green apple"
"green blue","#06b48b","green blue"
"green brown","#544e03","green brown"
"green grey","#77926f","green grey"
"green teal","#0cb577","green teal"
"green yellow","#c9ff27","green yellow"
"green","#15b01a","green"
"green/blue","#01c08d","green/blue"
"green/yellow","#b5ce08","green/yellow"
"greenblue","#23c48b","greenblue"
"greenish beige","#c9d179","greenish beige"
"greenish blue","#0b8b87","greenish blue"
"greenish brown","#696112","greenish brown"
"greenish cyan","#2afeb7","greenish cyan"
"greenish grey","#96ae8d","greenish grey"
"greenish tan","#bccb7a","greenish tan"
"greenish teal","#32bf84","greenish teal"
"greenish turquoise","#00fbb0","greenish turquoise"
"greenish yellow","#cdfd02","greenish yellow"
"greenish","#40a368","greenish"
"greeny blue","#42b395","greeny blue"
"greeny brown","#696006","greeny brown"
"greeny grey","#7ea07a","greeny grey"
"greeny yellow","#c6f808","greeny yellow"
"grey blue","#6b8ba4","grey blue"
"grey brown","#7f7053","grey brown"
"grey green","#789b73","grey green"
"grey pink","#c3909b","grey pink"
"grey purple","#826d8c","grey purple"
"grey teal","#5e9b8a","grey teal"
"grey","#929591","grey"
"grey/blue","#647d8e","grey/blue"
"grey/green","#86a17d","grey/green"
"greyblue","#77a1b5","greyblue"
"greyish blue","#5e819d","greyish blue"
"greyish brown","#7a6a4f","greyish brown"
"greyish green","#82a67d","greyish green"
"greyish pink","#c88d94","greyish pink"
"greyish purple","#887191","greyish purple"
"greyish teal","#719f91","greyish teal"
"greyish","#a8a495","greyish"
"gross green","#a0bf16","gross green"
"gunmetal","#536267","gunmetal"
"hazel","#8e7618","hazel"
"heather","#a484ac","heather"
"heliotrope","#d94ff5","heliotrope"
"highlighter green","#1bfc06","highlighter green"
"hospital green","#9be5aa","hospital green"
"hot green","#25ff29","hot green"
"hot magenta","#f504c9","hot magenta"
"hot pink","#ff028d","hot pink"
"hot purple","#cb00f5","hot purple"
"hunter green","#0b4008","hunter green"
"ice blue","#d7fffe","ice blue"
"ice","#d6fffa","ice"
"icky green","#8fae22","icky green"
"indian red","#850e04","indian red"
"indigo blue","#3a18b1","indigo blue"
"indigo","#380282","indigo"
"iris","#6258c4","iris"
"irish green","#019529","irish green"
"ivory","#ffffcb","ivory"
"jade green","#2baf6a","jade green"
"jade","#1fa774","jade"
"jungle green","#048243","jungle green"
"kelley green","#009337","kelley green"
"kelly green","#02ab2e","kelly green"
"kermit green","#5cb200","kermit green"
"key lime","#aeff6e","key lime"
"khaki green","#728639","khaki green"
"khaki","#aaa662","khaki"
"kiwi green","#8ee53f","kiwi green"
"kiwi","#9cef43","kiwi"
"lavender blue","#8b88f8","lavender blue"
"lavender pink","#dd85d7","lavender pink"
"lavender","#c79fef","lavender"
"lawn green","#4da409","lawn green"
"leaf green","#5ca904","leaf green"
"leaf","#71aa34","leaf"
"leafy green","#51b73b","leafy green"
"leather","#ac7434","leather"
"lemon green","#adf802","lemon green"
"lemon lime","#bffe28","lemon lime"
"lemon yellow","#fdff38","lemon yellow"
"lemon","#fdff52","lemon"
"lichen","#8fb67b","lichen"
"light aqua","#8cffdb","light aqua"
"light aquamarine","#7bfdc7","light aquamarine"
"light beige","#fffeb6","light beige"
"light blue green","#7efbb3","light blue green"
"light blue grey","#b7c9e2","light blue grey"
"light blue","#95d0fc","light blue"
"light bluish green","#76fda8","light bluish green"
"light bright green","#53fe5c","light bright green"
"light brown","#ad8150","light brown"
"light burgundy","#a8415b","light burgundy"
"light cyan","#acfffc","light cyan"
"light eggplant","#894585","light eggplant"
"light forest green","#4f9153","light forest green"
"light gold","#fddc5c","light gold"
"light grass green","#9af764","light grass green"
"light green blue","#56fca2","light green blue"
"light green","#96f97b","light green"
"light greenish blue","#63f7b4","light greenish blue"
